,COMID,LON_DD,LAT_DD,region_vpu,CatArea,WsArea,CatPctFull,WsPctFull,PctImp2006Cat,PctImp2006Ws
68,4648632,-75.813561,40.001053,MA_02,4.0995,4.0995,100,100,6.622832053,6.622832053
69,4653628,-75.675842,39.358732,MA_02,5.9499,5.9499,100,100,0.406443806,0.406443806
70,4674139,-78.6611,40.74,MA_02,9.4545,12.1896,100,100,0.043312708,0.057737744
71,4684078,-78.430339,40.357418,MA_02,4.8069,16.6509,100,100,2.132184984,0.995297551
72,4699347,-77.761435,40.278716,MA_02,2.6829,30.3714,100,100,0.138879571,0.334943401
73,4707932,-76.4836,40.573,MA_02,4.9095,7.5267,100,100,0.006966086,0.005380844
74,4724701,-76.089709,39.926575,MA_02,9.1413,13.6485,100,100,0.956975485,0.889218595
75,4725239,-76.648765,39.816486,MA_02,1.3725,9.2421,100,100,0.228852459,1.113156101
76,4763914,-76.057909,39.578187,MA_02,1.9899,10.0359,100,100,4.807327001,4.600663618
77,4780787,-75.530679,40.37658,MA_02,10.2249,60.6996,100,100,0.957134055,1.61387225
78,4782117,-75.283903,40.220683,MA_02,12.1986,14.679,100,100,26.31961045,25.10208461
79,4782137,-75.6944,40.1699,MA_02,3.3813,35.1864,100,100,0.225179665,1.301411909
80,4782153,-75.601305,40.151491,MA_02,5.0985,157.9797,100,100,2.214298323,0.93242866
81,5895084,-78.299978,39.499458,MA_02,7.821,8.8578,100,100,0.046950518,0.050599472
82,6185902,-73.480326,42.605198,MA_02,16.3899,26.6103,100,100,0.244797101,0.224743802
83,6188672,-73.570181,42.155268,MA_02,7.155,8.1,100,100,0.689811321,0.686555556
84,6188826,-73.830118,42.059107,MA_02,20.3166,20.3166,100,100,2.000442988,2.000442988
85,6189632,-74.380149,42.117034,MA_02,3.1572,181.3869,100,100,1.153648803,0.176232131
86,6212224,-73.846019,41.562773,MA_02,18.819,142.2666,100,100,8.973218556,2.737496362
87,6217244,-74.11618,41.418397,MA_02,2.3598,6.1029,100,100,0.189168574,0.248635894
88,6217244,-74.11618,41.418397,MA_02,2.3598,6.1029,100,100,0.189168574,0.248635894
89,8076768,-75.56844,38.97515,MA_02,2.6154,22.014,100,100,2.108740537,0.610057236
90,8084005,-74.625002,42.568191,MA_02,4.2462,12.6792,100,100,0.175498092,0.182282794
91,8088885,-75.51378,41.862782,MA_02,0.882,13.2876,100,100,2.420408163,0.543280954
92,8112389,-77.131904,41.75609,MA_02,6.3153,32.4252,100,100,0.188114579,0.172837793
93,8125623,-78.147752,41.537632,MA_02,4.9374,6.7149,100,100,0.000182282,0.000268061
94,8134878,-77.691111,41.389444,MA_02,5.7186,124.3422,100,100,0.004878816,0.015540179
95,8149597,-76.9686,41.584956,MA_02,2.2716,19.1718,100,100,0.085578447,0.188479955
96,8391976,-75.66748,38.525471,MA_02,2.6847,2.6847,100,100,1.46463292,1.46463292
97,8391976,-75.66748,38.525471,MA_02,2.6847,2.6847,100,100,1.46463292,1.46463292
98,8401373,-75.4625,38.2633,MA_02,16.6059,83.5938,100,100,0.059021191,0.428371482
99,8401909,-75.276994,38.269946,MA_02,19.5048,19.5048,100,100,0.091961979,0.091961979
100,8407581,-75.2554,38.6136,MA_02,4.554,17.2764,100,100,1.050395257,0.773546572
101,8431624,-78.498984,39.642601,MA_02,1.8333,1.8333,100,100,0.037800687,0.037800687
102,8433546,-78.664861,39.244215,MA_02,2.7207,33.1128,100,100,0.198478333,0.224260709
103,8440365,-78.459793,39.021724,MA_02,2.2023,77.0175,100,100,0.108295872,0.069775051
